Rk,Season,Team,G,W,L,W/L%,Pace,ORtg,DRtg,eFG%,TS%,TOV%,ORB%,DRB%,FTr,opp_eFG%,opp_TS%,opp_TOV%,opp_ORB%,opp_DRB%,opp_FTr
995,2020-21,Marist,21,12,9,0.571,66.7,93.9,94.2,0.491,0.52,19.1,23.0,74.6,0.315,0.457,0.494,15.9,25.4,77.0,0.322
996,2019-20,Marist,30,7,23,0.233,65.5,90.5,98.2,0.459,0.487,18.4,25.9,74.8,0.297,0.493,0.536,18.3,25.2,74.1,0.391
997,2023-24,Manhattan,30,7,23,0.233,69.2,94.4,108.2,0.474,0.501,16.9,25.0,69.5,0.221,0.526,0.553,14.8,30.5,75.0,0.264
998,2022-23,Manhattan,30,12,18,0.4,67.2,98.0,102.6,0.497,0.523,17.4,26.9,66.6,0.309,0.507,0.536,17.8,33.4,73.1,0.3
999,2021-22,Manhattan,30,15,15,0.5,69.5,100.8,103.3,0.491,0.537,18.0,30.2,69.3,0.407,0.518,0.55,18.0,30.7,69.8,0.347
1000,2020-21,Manhattan,20,7,13,0.35,67.6,91.0,96.5,0.426,0.466,17.5,31.9,70.5,0.355,0.479,0.527,19.6,29.5,68.1,0.468
1001,2019-20,Manhattan,31,13,18,0.419,66.3,92.8,96.1,0.457,0.485,17.9,30.1,70.1,0.341,0.475,0.518,19.4,29.9,69.9,0.46
1002,2023-24,Maine,32,15,17,0.469,68.1,98.6,98.3,0.485,0.518,14.9,23.4,72.7,0.295,0.492,0.522,17.0,27.3,76.6,0.321
1003,2022-23,Maine,30,13,17,0.433,67.0,100.9,102.7,0.516,0.541,16.3,23.6,71.3,0.231,0.525,0.552,18.1,28.7,76.4,0.28
1004,2021-22,Maine,29,6,23,0.207,66.6,93.8,106.9,0.473,0.498,16.8,25.0,71.2,0.209,0.534,0.566,17.1,28.8,75.0,0.328
1005,2020-21,Maine,9,2,7,0.222,65.4,81.2,98.7,0.451,0.468,22.4,23.3,69.7,0.272,0.488,0.52,17.9,30.3,76.7,0.31
1006,2019-20,Maine,31,9,22,0.29,66.2,92.1,102.0,0.468,0.499,19.6,28.5,72.4,0.266,0.496,0.536,16.4,27.6,71.5,0.321
1007,2023-24,Loyola Marymount,31,12,19,0.387,66.4,109.0,107.6,0.521,0.551,14.0,29.7,73.3,0.29,0.502,0.535,11.3,26.7,70.3,0.293
1008,2022-23,Loyola Marymount,31,19,12,0.613,69.1,107.6,104.4,0.533,0.556,15.9,30.9,75.9,0.311,0.513,0.548,14.6,24.1,69.1,0.347
1009,2021-22,Loyola Marymount,29,11,18,0.379,67.5,101.8,108.8,0.521,0.552,17.5,24.7,72.6,0.32,0.546,0.582,16.5,27.4,75.3,0.316
1010,2020-21,Loyola Marymount,22,13,9,0.591,67.8,101.9,99.7,0.517,0.557,20.4,32.0,79.6,0.413,0.508,0.543,15.8,20.4,68.0,0.348
1011,2019-20,Loyola Marymount,32,11,21,0.344,64.7,98.9,104.3,0.518,0.546,19.3,27.5,72.2,0.347,0.513,0.553,16.7,27.8,72.5,0.38
1012,2023-24,Loyola Chicago,33,23,10,0.697,69.3,104.7,96.7,0.522,0.548,16.1,28.1,75.2,0.331,0.463,0.51,15.9,24.8,71.9,0.37
1013,2022-23,Loyola Chicago,31,10,21,0.323,67.0,99.3,106.9,0.529,0.556,19.8,24.5,71.5,0.311,0.516,0.559,15.8,28.5,75.5,0.375
1014,2021-22,Loyola Chicago,33,25,8,0.758,65.7,109.2,92.2,0.558,0.583,16.4,25.1,76.7,0.313,0.469,0.505,18.2,23.3,74.9,0.285
1015,2020-21,Loyola Chicago,31,26,5,0.839,63.8,110.5,87.2,0.567,0.592,16.4,25.9,79.9,0.322,0.466,0.494,19.6,20.1,74.1,0.224
1016,2019-20,Loyola Chicago,32,21,11,0.656,65.7,103.4,94.4,0.554,0.574,17.7,21.4,76.3,0.387,0.52,0.539,21.2,23.7,78.6,0.234
1017,2023-24,Loyola (MD),32,7,25,0.219,65.7,96.4,108.2,0.482,0.507,17.7,29.5,74.2,0.303,0.532,0.559,13.8,25.8,70.5,0.323
